,BSSH_NM,ADDR,HG_ASGN_LV
0,찬합,대전광역시 서구 대덕대로 211(갤러리아타임월드백화점 지하2층 일부 둔산동),매우우수
1,대전역4층 면앤면추억의가락국수,대전광역시 동구 중앙로 215(4층 정동),좋음
2,홈플러스(주) 동대전점,"대전광역시 동구 한밭대로 1282(용전동,홈플러스 지하1층)",우수
3,비에치씨(BHC)십정점,인천광역시 부평구 배곶북로 12(1층 일부호 십정동),매우우수
4,비에이치씨,인천광역시 부평구 장제로189번길 4(1층 일부호 부평동),매우우수
5,비에이치씨(BHC) 풍납 올림픽공원점,"서울특별시 송파구 올림픽로47길 11(1층 101호 풍납동, 율곡빌라)",매우우수
6,교촌치킨수원역점,경기도 수원시 팔달구 갓매산로 58(장영빌딩 1층 고등동),매우우수
7,정직유부 다대포점,부산광역시 사하구 다대로 702-2(A동 2층 216호 다대동),매우우수
8,GS25순천매곡점,"전라남도 순천시 북정3길 28(1층 매곡동, 매곡아파트)",우수
9,파파존스 인천삼산점,"인천광역시 부평구 장제로 220(부평동, 1층)",매우우수
10,아수라떡볶이 수원교동점,경기도 수원시 팔달구 향교로 144(파인펠리체 오피스텔 1층 102호 교동),매우우수
11,배스킨라빈스 잠실새내중앙점,서울특별시 송파구 백제고분로7길 29(우림빌딩 1층 1호 잠실동),매우우수
12,배스킨라빈스 순천오천점,전라남도 순천시 오천6길 15(1층 오천동),매우우수
13,배스킨라빈스 다대포점,부산광역시 사하구 다대로 435(다대동),매우우수
14,던킨도너츠 인천삼산점,"인천광역시 부평구 길주로 659(미라쥬타워 1층 109-1호, 109-3호 삼산동)",매우우수
15,가민카페(GARMIN CAFE),경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 5층 하동),매우우수
16,우리집 파스타,서울특별시 송파구 백제고분로21길 8(1층 106호 삼전동),우수
17,공차 인천국제공항6호점,인천광역시 중구 공항로 272(인천국제공항 제1여객터미널 일반동 3층 FB-P5-06호 운서동),매우우수
18,배스킨라빈스 순천신대점,전라남도 순천시 해룡면 향매로 91(1층),매우우수
19,배스킨라빈스 부산동아대점,부산광역시 사하구 낙동대로 518(하단동),매우우수
20,파리바게뜨삼전점,서울특별시 송파구 백제고분로 261(삼전동),매우우수
21,더벤티 부평시장역점,"인천광역시 부평구 부평대로 69(부평동, 1층)",매우우수
22,펀토리하우스 광교갤러리아점,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 6층 하동),매우우수
23,GS25 다산아이파크,경기도 남양주시 다산순환로 325(다산 아이파크 상가 1층 101호 다산동),매우우수
24,이디야법원점,"인천광역시 미추홀구 소성로185번길 28(105호 학익동, 명인빌딩)",매우우수
25,엔제리너스 동신병원점,서울특별시 서대문구 연희로 276(홍은동),매우우수
26,라이킹(來KING)마라탕,경기도 광주시 수하길11번길 2(1층 송정동),좋음
27,본도시락일산동국대병원점,경기도 고양시 일산동구 위시티로 25(B05호 식사동),우수
28,교촌치킨운양점,"경기도 김포시 김포한강11로 310(1층 123호 운양동, 리앤포레)",매우우수
29,60계오리미금점,"경기도 성남시 분당구 구미로9번길 25(구미동,분당대맥주차장빌딩 105-1)",매우우수
30,롯데리아 서대문역점,"서울특별시 서대문구 통일로 127(충정로2가, 1층)",매우우수
31,식사동 배스킨라빈스(Baskin BR Robbins),경기도 고양시 일산동구 위시티2로11번길 45(위시티일산자이 주상복합상가동 117-2일부호 식사동),매우우수
32,더벤티 광주태전점,경기도 광주시 태봉로 145-2(우영상가 101호 태전동),매우우수
33,멕시카나치킨(무선 죽림점),전라남도 여수시 무선6길 24(1층 선원동),매우우수
34,투썸플레이스 씨제이비(CJB)센터점,충청북도 청주시 서원구 1순환로 840(1층 산남동),매우우수
35,한국맥도날드(유) 여수학동DT점,전라남도 여수시 망마로 9(학동),매우우수
36,파리바게뜨약대점,"경기도 부천시 중동로 400(삼정동, 1층 5,6,8호)",매우우수
37,60계 평택소사벌점,경기도 평택시 비전5로 20-9(골든타워 129-130호 비전동),매우우수
38,교촌치킨 동판교,"경기도 성남시 분당구 판교역로192번길 12(삼평동, 1층 일부)",우수
39,도미노피자김포장기,경기도 김포시 김포한강1로78번길 62-15(장기동),매우우수
40,60계칠곡왜관점,경상북도 칠곡군 왜관읍 석전로7길 5(상가동 1층 101호 왜관한양수자인아파트),우수
41,60계 인천도화점,인천광역시 미추홀구 숙골로 116(스카이프라자1 104.105호 도화동),매우우수
42,배스킨라빈스매곡점,"광주광역시 북구 서하로 131(매곡동,지상1층)",매우우수
43,샤브진,전라남도 여수시 국포1로 36(롯데마트 3층 국동),매우우수
44,역전우동0410 성남의료원점,경기도 성남시 수정구 수정로 161(삼진빌딩 1층 일부호 태평동),매우우수
45,GS25여수요트장점,전라남도 여수시 소호로 405(소호동),매우우수
46,거인감자탕,"경기도 안양시 만안구 태평로60번길 42(센트럴타워2 지상2층 205호,206호 안양동)",매우우수
47,본도시락 청주직지스타점,"충청북도 청주시 흥덕구 직지대로436번길 76(직지스마트타워 101일부,102호 송정동)",우수
48,스타벅스평택대DT점,"경기도 평택시 서동대로 3847(1,2층 용이동)",매우우수
49,배스킨라빈스 태전힐스테이트점,경기도 광주시 태봉로 145-1(1층 101~102호 태전동),매우우수
50,더벤티 중동현대점,경기도 부천시 소향로 117(베네피아오피스텔 105호 중동),우수
51,햄버거 나뚜루 구로디지털역점,서울특별시 관악구 시흥대로 578(지상1층 신림동),매우우수
52,도미노피자김포사우점,경기도 김포시 돌문로 95(1층 사우동),매우우수
53,에그셀런트 이대점,서울특별시 서대문구 이화여대길 86(지상1층 대현동),매우우수
54,60계 경기일산위시티점,경기도 고양시 일산동구 위시티3로 53-10(1층 일부호 식사동),매우우수
